Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,IMC,OFDA,Protection,GBV  Survivors received medical asssistance and Psychosocial support,IMC,Bay,Baidoa,Berdale Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,IMC Outreach worker conducted  GBV Prevention and response awereness rising,IMC,Bay,Baidoa,Baidao ,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,GBV  Survivors received medical asssistance and Psychosocial support,IMC,Banadir ,Dharkenley,Kahda Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,Outreach awereness rising conducted ,IMC,Banadir ,Dharkenley,Kahda  IDPs,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,GBV  Survivors received medical asssistance and Psychosocial support,IMC,Middle Shabelle,Jowhar,Kulmis,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,GBV  Survivors received medical asssistance and Psychosocial support,IMC,Mudug,Gaalkacyo,Dhure Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,Outreach awereness rising conducted ,IMC,Mudug,Gaalkacyo,Dhure IDPs,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,Outreach awereness rising conducted ,IMC,Galgaduud,Cabudwaaq,Ibado Hospital,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,GBV  Survivors received medical asssistance and Psychosocial support,IMC,Banadir ,Dharkenley,Wadajir Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,Outreach awereness rising conducted ,IMC,Banadir ,Dharkenley,Wadajir ,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,Ongoing livelihood skills  training through Women and Girls Friendly Space 40 participants from berdale facility.,IMC,Bay,Baidoa,Berdale Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,Ongoing livelihood skills  training through Women and Girls Friendly Space 40 participants from Kahda Facility.,IMC,Banadir ,Dharkenley,Kahda Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,"On 4th March, 2019, the International Medical Corps, GBV Team  held their Quarterly Meeting with the Community Support Groups (CSGs) in Mogadishu 20 participants.",IMC,Banadir ,Dharkenley,Kahda Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,"On 4th March, 2019, the International Medical Corps, GBV Team  held their Quarterly Meeting with the Community Support Groups (CSGs) in Baidao 20 participants.",IMC,Bay,Baidoa,Berdale Facility,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,IMC commemorated international women's day during the event distributed 240 dignity kits for GBV survivors and vulnerable women and girls,IMC,Banadir ,Dharkenley,,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,2 days GBVIMS training conducted for IMC staff in Mogadishu  on 26 and 27 march 2019.,IMC,Banadir ,Dharkenley,Wadajir,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,40 women and girls including GBV survivors distributed 40 dignity kit in Mogadishu,IMC,Banadir ,Dharkenley,,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,40 women and girls including GBV survivors distributed 40 dignity kit in Baidao.,IMC,Bay,Baidoa,,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,60 dignity kit distributed 60 vulnerable and girls in Abudwaq,IMC,Galgaduud,Cabudwaaq,,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,50 vulnerable women and girls distributed 50 dignity kits Galkacyo.,IMC,Mudug,Gaalkacyo,,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IMC,OFDA,Protection,50 dignity kits distributed 50 vulnerable women and girls in Jowhar,IMC,Middle Shabelle,Jowhar,,,Ongoing ,,30/06/2018,30/06/2019,,
Quarter III,IRC,ECHO,Protection,4 GBV cases 3-Physical injury and 1 Domestic violence,IRC,Mudug,Gaalkacyo,,,Ongoing ,,"01 January 2018
",,,
Quarter III,IRC,ECHO,Protection,"listening ning sesion for women and girls (28Girls, 64 Women)",IRC,Mudug,Gaalkacyo,,,Ongoing ,,"01 January 2018
",,,
Quarter III,IRC,ECHO,Protection,"Community counsellinig leadres meeting( F28,M 33)",IRC,Mudug,Gaalkacyo,,,Ongoing ,,"01 January 2018
",,,
Quarter III,IRC,ECHO,Protection,"GBV  Refresher Training for community workers(  17F, 15M)",IRC,Mudug,Gaalkacyo,,,Ongoing ,,"01 January 2018
",,,
Quarter III,IRC,DFID,Protection,Sport clubs/football clubs(48boys),IRC,Mudug,Hobyo,,,Ongoing ,,01/10/2016,,,
Quarter III,IRC,DFID,Protection,cooking club sessions (80 girls),IRC,Mudug,Hobyo,,,Ongoing ,,01/10/2016,,,
Quarter III,IRC,DFID,Protection,"Debating clubs( 25 boys, 25 girls)",IRC,Mudug,Hobyo,,,Ongoing ,,01/10/2016,,,
Quarter III,IRC,DFID,Protection,"Vulnerablle peoples supported with school learning materials (35 giurls, 20 boys)",IRC,Mudug,Hobyo,,,Ongoing ,,01/10/2016,,,
Quarter III,UNICEF,UNICEF,Protection,GBV Survivors Provided with Comprehensive case Management ,INTERSOS,Bay,Baidoa,,,Ongoing ,,01/01/2018,31/03/2019,,
Quarter III,UNICEF,UNICEF,Protection,GBV Survivors referred to Medical Service,INTERSOS,Bay,Baidoa,,,Ongoing ,,01/01/2018,31/03/2019,,
Quarter III,UNICEF,UNICEF,Protection,Provision of PSS was provided to GBV Survivors,INTERSOS,Bay,Baidoa,,,Ongoing ,,01/01/2018,31/03/2019,,
Quarter III,NoFYL,SHF,Protection,Case management to GBV survivors,NoFYL,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/06/2018,28/06/2019,,
Quarter III,CISP,CISP,Protection,Community Outreaches and awareness campaigns in Mogadisu districts,NoFYL,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/06/2018,28/06/2019,,
Quarter III,CISP,CISP,Protection,Action plan development & implementation by community committees against harmful norms,NoFYL,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/06/2018,28/06/2019,,
Quarter III,CISP,CISP,Protection,Case management to GBV survivors,NoFYL,Lower Shabelle,Afgooye,Afgoye,,Ongoing ,,01/06/2018,28/06/2019,,
Quarter III,CISP,CISP,Protection,Community Outreaches and awareness campaigns in Afgoye  district,NoFYL,Lower Shabelle,Afgooye,Afgoye,,Ongoing ,,01/06/2018,28/06/2019,,
Quarter III,UNICEF,UNICEF,Protection,Psychosocial Support,OSPAD,Lower Shabelle,Marka,"Bulo bacad,cel bashirow, jujuma,abasiwo,cel hindi and bulo shekh",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Medical ,OSPAD,Lower Shabelle,Marka,"Bulo bacad,cel bashirow, jujuma,abasiwo,cel hindi and bulo shekh",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Psychosocial Support,OSPAD,Lower Shabelle,Baraawe,"Howlwadag.saqawadin,dayax and dalxis",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Medical ,OSPAD,Lower Shabelle,Baraawe,"Howlwadag.saqawadin,dayax and dalxis",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Dignity kit,OSPAD,Lower Shabelle,Marka,"Bulo bacad,cel bashirow, jujuma,abasiwo,cel hindi and bulo shekh",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Dignity kit,OSPAD,Lower Shabelle,Baraawe,"Howlwadag.saqawadin,dayax and dalxis",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Safe House,OSPAD,Lower Shabelle,Marka,"Bulo bacad,cel bashirow, jujuma,abasiwo,cel hindi and bulo shekh",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Safe House,OSPAD,Lower Shabelle,Baraawe,"Howlwadag.saqawadin,dayax and dalxis",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Awarenss raising,OSPAD,Lower Shabelle,Marka,"Bulo bacad,cel bashirow, jujuma,abasiwo,cel hindi and bulo shekh",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,Awarenss raising,OSPAD,Lower Shabelle,Baraawe,"Howlwadag.saqawadin,dayax and dalxis",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,UNFPA,UNFPA/MoWHRD,Protection,Psychosocial Support,OSPAD,Banadir ,Hodan,"tarabunka, talex",,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA/MoWHRD,Protection,Medical ,OSPAD,Banadir ,Hodan,"tarabunka, talex",,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA/MoWHRD,Protection,Legal Advice,OSPAD,Banadir ,Hodan,"tarabunka, talex",,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Psychosocial Support,OSPAD,Banadir ,Dharkenley,dharkenlay,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Medical ,OSPAD,Banadir ,Dharkenley,dharkenlay,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Psychosocial Support,OSPAD,Lower Shabelle,Wanla Weyn,Bakal,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Medical ,OSPAD,Lower Shabelle,Wanla Weyn,Bakal,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Psychosocial Support,OSPAD,Lower Shabelle,Afgooye,afgoye,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Medical ,OSPAD,Lower Shabelle,Afgooye,afgoye,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Psychosocial Support,OSPAD,Lower Shabelle,Afgooye,Lafole district,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Medical ,OSPAD,Lower Shabelle,Afgooye,Lafole district,,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Psychosocial Support,OSPAD,Lower Shabelle,Baraawe,"Dayax,ceel hindi",,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNFPA,UNFPA,Protection,Medical ,OSPAD,Lower Shabelle,Baraawe,"Dayax,ceel hindi",,Ongoing ,,01/01/2018,01/12/2018,,
Quarter III,UNICEF,UNICEF,Protection,Community discusion leaders sessions in  sessions,OSPAD,Lower Shabelle,Marka,"Bulo bacad,cel bashirow, jujuma,abasiwo,cel hindi and bulo shekh",,Ongoing ,,01/05/2017,30/04/2019,,
Quarter III,WFP,WFP,Protection,Cash support,OSPAD,Banadir ,Hodan,"tarabunka, talex",,Ongoing ,,01/01/2019,30/06/2019,,
Quarter III,CRS,CRS,Protection,GBV survivors received solar lamps    ,SSWC,Banadir ,Dharkenley,Hodan and Garasbalay ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV survivors received Dignity kits  ,SSWC,Banadir ,Dharkenley,Hodan and Garasbalay ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,medical treatment at the centre and those referrred to SOS Hospital for PEP drugs and other treatment the survivour might need.,SSWC,Banadir ,Dharkenley,"\deynile ,Kahda, Darkinley, Hodan and Afgoe ",,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,providing free psychosocial support to SGBV/GBV survivors,SSWC,Banadir ,Dharkenley,"\deynile ,Kahda, Darkinley, Hodan and Afgoe ",,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors received Legal Aid ,SSWC,Banadir ,Dharkenley,"\deynile ,Kahda, Darkinley, Hodan and Afgoe ",,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,Distribution of Dignity Kits ,SSWC,Banadir ,Dharkenley,"\deynile ,Kahda, Darkinley, Hodan and Afgoe ",,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,IRC,IRC,Protection,women's international day celebration,SSWC,Banadir ,Dharkenley,Karan ,,Ongoing ,,01/09/2018,30/06/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors Received at the safety and security ,SSWC,Banadir ,Dharkenley,\hodan and Garasbaley ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors Received  Solar lamps,SSWC,Banadir ,Dharkenley,\hodan and Garasbaley ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors Received Dignity Kits ,SSWC,Galgaduud,Cadaado,Cadaado,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors received Legal Aid ,SSWC,Galgaduud,Cadaado,Cadaado,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,providing free psychosocial support to SGBV/GBV survivors,SSWC,Bay,Baidoa,Isha and Horseed ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors receiveed medical Support ,SSWC,Bay,Baidoa,Isha and Horseed ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV survivord distributed Dignity kits ,SSWC,Bay,Baidoa,Isha and Horseed ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors  received legal Aid ,SSWC,Bay,Baidoa,Isha and Horseed ,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV  survivors ditributed to solar lamp ,SSWC,Galgaduud,Cadaado,Cadaado,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,CRS,CRS,Protection,GBV Survivors Received PSS ,SSWC,Galgaduud,Cadaado,Cadaado,,Ongoing ,,01/09/2018,31/07/2019,,
Quarter III,IRC,IRC,Protection,"Establish/strengthen school-based girls’ clubs (include survivors and girls at risk who are referred by CWCs) and train them in life skills, sport and recreational activities.",SSWC,Banadir ,Dharkenley,Karan ,,Ongoing ,,01/12/2018,30/06/2019,,
Quarter III,SWAPPO,SWAPPO,Protection, trsfficking and smugguling in lower shabele District creating awarness on FGM in lower shabelle region afgoi,SAWPPO,Lower Shabelle,Afgooye,4 Villages,,Completed,,04/02/2019,27/03/2019,,
Quarter III,SWAPPO,SWAPPO,Protection, trsfficking and smugguling in Gedo District creating awarness on FGM in lower shabelle region afgoi,SAWPPO,Gedo,Ceel Waaq,5 Villages,,Ongoing ,,07/02/2019,12/05/2019,,
Quarter III,SWCCA,SHF,Protection,Girls for education in order to prevent Early Marriage conducted Almassal School for 50 Girls,SWCCA,Bay,Baidoa,Howlwadag,,Completed,,01/03/2019,06/03/2019,,
Quarter III,SWCCA,SHF,Protection,10 GBV Survivors SWCCA provided Psychosocial Support,SWCCA,Banadir ,Dharkenley,Daynile District,,Completed,,07/03/2019,06/02/2019,,
Quarter III,SWCCA,SHF,Protection,SWCCA with the support of SIHA Networkcommemorated International zero tolerance of FGM  of 100 Participants,SWCCA,Bay,Baidoa,Howlwadag,,Ongoing ,,01/01/2019,01/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,Survivors provided Free Legal aid Repersentation and Legal Counselling,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,Survivors Provided Psychosocial Support Counseling ,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,Case Management  for Drought Affected People,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,GBV Response for IDPs and Host Communities,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,Awareness Sessions Conducted  for IDPs,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,Case Management ( Legal ),SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,Case Management GBV Response for IDPs and Host Communities,SWDC,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,Awareness Sessions Conducted  for IDPs,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,Awareness Sessions Conducted  for IDPs,SWDC,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,"legal Representation of  IDPS , returness in Detention Centre  ",SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,"legal Representation of  IDPS , returness in Detention Centre  ",SWDC,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,SOYDA,SHF,Protection,"6 rape cases and 1 sexual asualt case 12 physical asualt,2 forced mariage received clinical care and PSS",SOYDA,Banadir ,Dayniile,Hodman/Ceelgaras,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,7 physical asuslt and 1 rape cases received PSS and case management and clinical care,SOYDA,Banadir ,Dharkenley,Badbado,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,"6 physical asualts  received PSS ,medical care and case management",SOYDA,Banadir ,Dharkenley,Kahda/Kuntuwarey,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,"4 rape 7 physical asualts and 2 sexual asualt survivors  received PSS ,clinical care and case management",SOYDA,Lower Shabelle,Afgooye,"Afgoye corridor:ceelasha,carbis",,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,"850 community participated GBV awerness sessions on core concept of GBV  , service available SOYDA and safe  referal services",SOYDA,Banadir ,Dharkenley,Badbado,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,"1386 community members participated GBV awerness sessions on core concept of GBV  , service available SOYDA and safe  referal services",SOYDA,Banadir ,Dayniile,Hodman/Ceelgaras,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,"734 of community members participated GBV awerness sessions on core concept of GBV  , service available SOYDA and safe  referal services",SOYDA,Lower Shabelle,Afgooye,"Afgoye corridor:ceelasha,carbis",,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,"179 community members participated GBV awerness sessions on core concept of GBV  , service available SOYDA and safe  referal services",SOYDA,Banadir ,Dharkenley,Kahda/Kuntuwarey,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,26 vulnerable women who risk GBV and those experienced GBV risks received dignity kit,SOYDA,Banadir ,Dharkenley,Kahda/Kuntuwarey,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,16 vulnerable women  who risk GBV and those experienced GBV risk received dignity kit,SOYDA,Banadir ,Dharkenley,Badbado,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,36 vulnerable women  and girls who risk GBV and those experienced GBV risk received dignity kit,SOYDA,Banadir ,Dayniile,Hodman/Ceelgaras,,Ongoing ,,20/12/2018,19/12/2019,,
Quarter III,SOYDA,SHF,Protection,42 vulnerable women  and girls who risk GBV and those experienced GBV risk received dignity kit,SOYDA,Lower Shabelle,Afgooye,"Afgoye corridor:ceelasha,carbis",,Ongoing ,,20/12/2018,20/12/2019,,
Quarter III,SOYDA,SHF,Protection,16  vulnerable women  who risk GBV and those experienced GBV risk received solar lamp,SOYDA,Banadir ,Dharkenley,Badbado,,Ongoing ,,20/12/2018,20/12/2019,,
Quarter III,SOYDA,SHF,Protection,16 vulnerable women and girls  who risk GBV and those experienced GBV risk received solar lamp,SOYDA,Banadir ,Dharkenley,Kahda/Kuntuwarey,,Ongoing ,,20/12/2018,20/12/2019,,
